Starting 30 workers... Done!
Preparing workers... Done!
Distribution: t=0.0 Uniform UNR, L: 128          
Searching for loose files... Done! Running workers...                            
0%, Active workers: 18, Completed tasks: 0.
18%, Active workers: 30, Completed tasks: 77.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 94.
24%, Active workers: 30, Completed tasks: 108.
25%, Active workers: 30, Completed tasks: 119.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 120.
29%, Active workers: 30, Completed tasks: 127.
30%, Active workers: 30, Completed tasks: 134.
31%, Active workers: 30, Completed tasks: 147.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 152.
35%, Active workers: 30, Completed tasks: 159.
36%, Active workers: 30, Completed tasks: 164.
37%, Active workers: 30, Completed tasks: 173.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 180.
40%, Active workers: 30, Completed tasks: 182.
41%, Active workers: 30, Completed tasks: 189.
42%, Active workers: 30, Completed tasks: 194.
43%, Active workers: 30, Completed tasks: 203.
44%, Active workers: 30, Completed tasks: 210.
45%, Active workers: 30, Completed tasks: 210.
46%, Active workers: 30, Completed tasks: 213.
47%, Active workers: 30, Completed tasks: 219.
48%, Active workers: 30, Completed tasks: 225.
49%, Active workers: 30, Completed tasks: 233.
50%, Active workers: 30, Completed tasks: 240.
51%, Active workers: 30, Completed tasks: 240.
52%, Active workers: 30, Completed tasks: 243.
53%, Active workers: 30, Completed tasks: 249.
54%, Active workers: 30, Completed tasks: 255.
55%, Active workers: 30, Completed tasks: 261.
56%, Active workers: 30, Completed tasks: 269.
57%, Active workers: 30, Completed tasks: 271.
58%, Active workers: 30, Completed tasks: 275.
59%, Active workers: 30, Completed tasks: 279.
60%, Active workers: 30, Completed tasks: 285.
61%, Active workers: 30, Completed tasks: 291.
62%, Active workers: 30, Completed tasks: 298.
63%, Active workers: 30, Completed tasks: 302.
64%, Active workers: 30, Completed tasks: 305.
65%, Active workers: 30, Completed tasks: 310.
66%, Active workers: 30, Completed tasks: 316.
67%, Active workers: 30, Completed tasks: 321.
68%, Active workers: 30, Completed tasks: 328.
69%, Active workers: 30, Completed tasks: 331.
70%, Active workers: 30, Completed tasks: 336.
71%, Active workers: 30, Completed tasks: 339.
72%, Active workers: 30, Completed tasks: 347.
73%, Active workers: 30, Completed tasks: 350.
74%, Active workers: 30, Completed tasks: 356.
75%, Active workers: 30, Completed tasks: 362.
76%, Active workers: 30, Completed tasks: 366.
77%, Active workers: 30, Completed tasks: 370.
78%, Active workers: 30, Completed tasks: 377.
79%, Active workers: 30, Completed tasks: 380.
80%, Active workers: 30, Completed tasks: 384.
81%, Active workers: 30, Completed tasks: 392.
82%, Active workers: 30, Completed tasks: 397.
83%, Active workers: 30, Completed tasks: 400.
84%, Active workers: 30, Completed tasks: 407.
85%, Active workers: 30, Completed tasks: 410.
86%, Active workers: 30, Completed tasks: 415.
87%, Active workers: 30, Completed tasks: 421.
88%, Active workers: 30, Completed tasks: 427.
89%, Active workers: 30, Completed tasks: 431.
90%, Active workers: 30, Completed tasks: 437.
91%, Active workers: 30, Completed tasks: 442.
92%, Active workers: 30, Completed tasks: 445.
93%, Active workers: 29, Completed tasks: 451.
94%, Active workers: 24, Completed tasks: 458.
95%, Active workers: 22, Completed tasks: 466.
96%, Active workers: 22, Completed tasks: 468.
97%, Active workers: 21, Completed tasks: 475.
98%, Active workers: 19, Completed tasks: 480.
99%, Active workers: 12, Completed tasks: 488.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.15 Uniform SNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 14.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 30.
12%, Active workers: 30, Completed tasks: 42.
13%, Active workers: 30, Completed tasks: 60.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 64.
18%, Active workers: 30, Completed tasks: 73.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 96.
24%, Active workers: 30, Completed tasks: 104.
25%, Active workers: 30, Completed tasks: 119.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 120.
29%, Active workers: 30, Completed tasks: 129.
30%, Active workers: 30, Completed tasks: 134.
31%, Active workers: 30, Completed tasks: 144.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 151.
35%, Active workers: 30, Completed tasks: 160.
36%, Active workers: 30, Completed tasks: 164.
37%, Active workers: 30, Completed tasks: 171.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 180.
40%, Active workers: 30, Completed tasks: 182.
41%, Active workers: 30, Completed tasks: 192.
42%, Active workers: 30, Completed tasks: 194.
43%, Active workers: 30, Completed tasks: 201.
44%, Active workers: 30, Completed tasks: 210.
45%, Active workers: 30, Completed tasks: 210.
46%, Active workers: 30, Completed tasks: 212.
47%, Active workers: 30, Completed tasks: 221.
48%, Active workers: 30, Completed tasks: 224.
49%, Active workers: 30, Completed tasks: 228.
50%, Active workers: 30, Completed tasks: 240.
51%, Active workers: 30, Completed tasks: 241.
52%, Active workers: 30, Completed tasks: 243.
53%, Active workers: 30, Completed tasks: 253.
54%, Active workers: 30, Completed tasks: 255.
55%, Active workers: 30, Completed tasks: 258.
56%, Active workers: 30, Completed tasks: 268.
57%, Active workers: 30, Completed tasks: 272.
58%, Active workers: 30, Completed tasks: 274.
59%, Active workers: 30, Completed tasks: 283.
60%, Active workers: 30, Completed tasks: 285.
61%, Active workers: 30, Completed tasks: 289.
62%, Active workers: 30, Completed tasks: 297.
63%, Active workers: 30, Completed tasks: 302.
64%, Active workers: 30, Completed tasks: 304.
65%, Active workers: 30, Completed tasks: 313.
66%, Active workers: 30, Completed tasks: 315.
67%, Active workers: 30, Completed tasks: 318.
68%, Active workers: 30, Completed tasks: 323.
69%, Active workers: 30, Completed tasks: 332.
70%, Active workers: 30, Completed tasks: 336.
71%, Active workers: 30, Completed tasks: 343.
72%, Active workers: 30, Completed tasks: 345.
73%, Active workers: 30, Completed tasks: 348.
74%, Active workers: 30, Completed tasks: 352.
75%, Active workers: 30, Completed tasks: 362.
76%, Active workers: 30, Completed tasks: 369.
77%, Active workers: 30, Completed tasks: 373.
78%, Active workers: 30, Completed tasks: 375.
79%, Active workers: 30, Completed tasks: 378.
80%, Active workers: 30, Completed tasks: 383.
81%, Active workers: 30, Completed tasks: 391.
82%, Active workers: 30, Completed tasks: 399.
83%, Active workers: 30, Completed tasks: 403.
84%, Active workers: 30, Completed tasks: 404.
85%, Active workers: 30, Completed tasks: 408.
86%, Active workers: 30, Completed tasks: 412.
87%, Active workers: 30, Completed tasks: 420.
88%, Active workers: 30, Completed tasks: 430.
89%, Active workers: 30, Completed tasks: 434.
90%, Active workers: 30, Completed tasks: 435.
91%, Active workers: 30, Completed tasks: 438.
92%, Active workers: 29, Completed tasks: 442.
93%, Active workers: 27, Completed tasks: 451.
94%, Active workers: 22, Completed tasks: 463.
95%, Active workers: 22, Completed tasks: 465.
96%, Active workers: 22, Completed tasks: 467.
97%, Active workers: 21, Completed tasks: 472.
98%, Active workers: 14, Completed tasks: 486.
99%, Active workers: 13, Completed tasks: 487.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.2 Uniform UNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 16.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 30.
12%, Active workers: 30, Completed tasks: 46.
13%, Active workers: 30, Completed tasks: 46.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 75.
18%, Active workers: 30, Completed tasks: 76.
19%, Active workers: 30, Completed tasks: 76.
20%, Active workers: 30, Completed tasks: 78.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 95.
23%, Active workers: 30, Completed tasks: 106.
24%, Active workers: 30, Completed tasks: 106.
25%, Active workers: 30, Completed tasks: 106.
26%, Active workers: 30, Completed tasks: 106.
27%, Active workers: 30, Completed tasks: 108.
28%, Active workers: 30, Completed tasks: 136.
29%, Active workers: 30, Completed tasks: 136.
30%, Active workers: 30, Completed tasks: 136.
31%, Active workers: 30, Completed tasks: 136.
32%, Active workers: 30, Completed tasks: 136.
33%, Active workers: 30, Completed tasks: 152.
34%, Active workers: 30, Completed tasks: 152.
35%, Active workers: 30, Completed tasks: 166.
36%, Active workers: 30, Completed tasks: 166.
37%, Active workers: 30, Completed tasks: 166.
38%, Active workers: 30, Completed tasks: 167.
39%, Active workers: 30, Completed tasks: 182.
40%, Active workers: 30, Completed tasks: 182.
41%, Active workers: 30, Completed tasks: 196.
42%, Active workers: 30, Completed tasks: 196.
43%, Active workers: 30, Completed tasks: 196.
44%, Active workers: 30, Completed tasks: 196.
45%, Active workers: 30, Completed tasks: 209.
46%, Active workers: 30, Completed tasks: 222.
47%, Active workers: 30, Completed tasks: 226.
48%, Active workers: 30, Completed tasks: 226.
49%, Active workers: 30, Completed tasks: 226.
50%, Active workers: 30, Completed tasks: 226.
51%, Active workers: 30, Completed tasks: 237.
52%, Active workers: 30, Completed tasks: 252.
53%, Active workers: 30, Completed tasks: 256.
54%, Active workers: 30, Completed tasks: 256.
55%, Active workers: 30, Completed tasks: 256.
56%, Active workers: 30, Completed tasks: 263.
57%, Active workers: 30, Completed tasks: 270.
58%, Active workers: 30, Completed tasks: 270.
59%, Active workers: 30, Completed tasks: 278.
60%, Active workers: 30, Completed tasks: 286.
61%, Active workers: 30, Completed tasks: 286.
62%, Active workers: 30, Completed tasks: 300.
63%, Active workers: 30, Completed tasks: 300.
64%, Active workers: 30, Completed tasks: 300.
65%, Active workers: 30, Completed tasks: 301.
66%, Active workers: 30, Completed tasks: 314.
67%, Active workers: 30, Completed tasks: 330.
68%, Active workers: 30, Completed tasks: 330.
69%, Active workers: 30, Completed tasks: 330.
70%, Active workers: 30, Completed tasks: 330.
71%, Active workers: 30, Completed tasks: 330.
72%, Active workers: 30, Completed tasks: 344.
73%, Active workers: 30, Completed tasks: 356.
74%, Active workers: 30, Completed tasks: 360.
75%, Active workers: 30, Completed tasks: 360.
76%, Active workers: 30, Completed tasks: 360.
77%, Active workers: 30, Completed tasks: 363.
78%, Active workers: 30, Completed tasks: 375.
79%, Active workers: 30, Completed tasks: 385.
80%, Active workers: 30, Completed tasks: 390.
81%, Active workers: 30, Completed tasks: 390.
82%, Active workers: 30, Completed tasks: 390.
83%, Active workers: 30, Completed tasks: 400.
84%, Active workers: 30, Completed tasks: 404.
85%, Active workers: 30, Completed tasks: 405.
86%, Active workers: 30, Completed tasks: 416.
87%, Active workers: 30, Completed tasks: 420.
88%, Active workers: 30, Completed tasks: 423.
89%, Active workers: 30, Completed tasks: 434.
90%, Active workers: 30, Completed tasks: 434.
91%, Active workers: 30, Completed tasks: 434.
92%, Active workers: 30, Completed tasks: 436.
93%, Active workers: 30, Completed tasks: 449.
94%, Active workers: 23, Completed tasks: 463.
95%, Active workers: 22, Completed tasks: 464.
96%, Active workers: 22, Completed tasks: 464.
97%, Active workers: 18, Completed tasks: 470.
98%, Active workers: 14, Completed tasks: 486.
99%, Active workers: 14, Completed tasks: 486.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.2 Uniform CNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 15.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 31.
12%, Active workers: 30, Completed tasks: 45.
13%, Active workers: 30, Completed tasks: 58.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 61.
17%, Active workers: 30, Completed tasks: 66.
18%, Active workers: 30, Completed tasks: 75.
19%, Active workers: 30, Completed tasks: 85.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 91.
22%, Active workers: 30, Completed tasks: 91.
23%, Active workers: 30, Completed tasks: 97.
24%, Active workers: 30, Completed tasks: 106.
25%, Active workers: 30, Completed tasks: 113.
26%, Active workers: 30, Completed tasks: 119.
27%, Active workers: 30, Completed tasks: 121.
28%, Active workers: 30, Completed tasks: 123.
29%, Active workers: 30, Completed tasks: 128.
30%, Active workers: 30, Completed tasks: 134.
31%, Active workers: 30, Completed tasks: 140.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 152.
34%, Active workers: 30, Completed tasks: 153.
35%, Active workers: 30, Completed tasks: 160.
36%, Active workers: 30, Completed tasks: 164.
37%, Active workers: 30, Completed tasks: 169.
38%, Active workers: 30, Completed tasks: 175.
39%, Active workers: 30, Completed tasks: 183.
40%, Active workers: 30, Completed tasks: 186.
41%, Active workers: 30, Completed tasks: 191.
42%, Active workers: 30, Completed tasks: 194.
43%, Active workers: 30, Completed tasks: 198.
44%, Active workers: 30, Completed tasks: 204.
45%, Active workers: 30, Completed tasks: 214.
46%, Active workers: 30, Completed tasks: 216.
47%, Active workers: 30, Completed tasks: 222.
48%, Active workers: 30, Completed tasks: 224.
49%, Active workers: 30, Completed tasks: 228.
50%, Active workers: 30, Completed tasks: 234.
51%, Active workers: 30, Completed tasks: 243.
52%, Active workers: 30, Completed tasks: 247.
53%, Active workers: 30, Completed tasks: 252.
54%, Active workers: 30, Completed tasks: 255.
55%, Active workers: 30, Completed tasks: 256.
56%, Active workers: 30, Completed tasks: 263.
57%, Active workers: 30, Completed tasks: 272.
58%, Active workers: 30, Completed tasks: 279.
59%, Active workers: 30, Completed tasks: 282.
60%, Active workers: 30, Completed tasks: 285.
61%, Active workers: 30, Completed tasks: 286.
62%, Active workers: 30, Completed tasks: 293.
63%, Active workers: 30, Completed tasks: 301.
64%, Active workers: 30, Completed tasks: 309.
65%, Active workers: 30, Completed tasks: 312.
66%, Active workers: 30, Completed tasks: 315.
67%, Active workers: 30, Completed tasks: 317.
68%, Active workers: 30, Completed tasks: 323.
69%, Active workers: 30, Completed tasks: 331.
70%, Active workers: 30, Completed tasks: 338.
71%, Active workers: 30, Completed tasks: 344.
72%, Active workers: 30, Completed tasks: 345.
73%, Active workers: 30, Completed tasks: 347.
74%, Active workers: 30, Completed tasks: 353.
75%, Active workers: 30, Completed tasks: 359.
76%, Active workers: 30, Completed tasks: 367.
77%, Active workers: 30, Completed tasks: 374.
78%, Active workers: 30, Completed tasks: 375.
79%, Active workers: 30, Completed tasks: 377.
80%, Active workers: 30, Completed tasks: 381.
81%, Active workers: 30, Completed tasks: 389.
82%, Active workers: 30, Completed tasks: 398.
83%, Active workers: 30, Completed tasks: 405.
84%, Active workers: 30, Completed tasks: 406.
85%, Active workers: 30, Completed tasks: 409.
86%, Active workers: 30, Completed tasks: 412.
87%, Active workers: 30, Completed tasks: 417.
88%, Active workers: 29, Completed tasks: 427.
89%, Active workers: 29, Completed tasks: 434.
90%, Active workers: 28, Completed tasks: 437.
91%, Active workers: 25, Completed tasks: 441.
92%, Active workers: 24, Completed tasks: 444.
93%, Active workers: 22, Completed tasks: 452.
94%, Active workers: 21, Completed tasks: 464.
95%, Active workers: 20, Completed tasks: 466.
96%, Active workers: 18, Completed tasks: 468.
97%, Active workers: 16, Completed tasks: 476.
98%, Active workers: 14, Completed tasks: 486.
99%, Active workers: 14, Completed tasks: 486.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.2 Uniform SNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 27, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 13.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 31.
12%, Active workers: 30, Completed tasks: 41.
13%, Active workers: 30, Completed tasks: 60.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 60.
18%, Active workers: 30, Completed tasks: 73.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 92.
24%, Active workers: 30, Completed tasks: 101.
25%, Active workers: 30, Completed tasks: 120.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 120.
29%, Active workers: 30, Completed tasks: 125.
30%, Active workers: 30, Completed tasks: 133.
31%, Active workers: 30, Completed tasks: 146.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 150.
35%, Active workers: 30, Completed tasks: 157.
36%, Active workers: 30, Completed tasks: 165.
37%, Active workers: 30, Completed tasks: 176.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 180.
40%, Active workers: 30, Completed tasks: 181.
41%, Active workers: 30, Completed tasks: 188.
42%, Active workers: 30, Completed tasks: 195.
43%, Active workers: 30, Completed tasks: 202.
44%, Active workers: 30, Completed tasks: 209.
45%, Active workers: 30, Completed tasks: 210.
46%, Active workers: 30, Completed tasks: 213.
47%, Active workers: 30, Completed tasks: 219.
48%, Active workers: 30, Completed tasks: 225.
49%, Active workers: 30, Completed tasks: 231.
50%, Active workers: 30, Completed tasks: 239.
51%, Active workers: 30, Completed tasks: 240.
52%, Active workers: 30, Completed tasks: 243.
53%, Active workers: 30, Completed tasks: 250.
54%, Active workers: 30, Completed tasks: 256.
55%, Active workers: 30, Completed tasks: 259.
56%, Active workers: 30, Completed tasks: 268.
57%, Active workers: 30, Completed tasks: 270.
58%, Active workers: 30, Completed tasks: 273.
59%, Active workers: 30, Completed tasks: 280.
60%, Active workers: 30, Completed tasks: 285.
61%, Active workers: 30, Completed tasks: 289.
62%, Active workers: 30, Completed tasks: 299.
63%, Active workers: 30, Completed tasks: 300.
64%, Active workers: 30, Completed tasks: 303.
65%, Active workers: 30, Completed tasks: 309.
66%, Active workers: 30, Completed tasks: 315.
67%, Active workers: 30, Completed tasks: 324.
68%, Active workers: 30, Completed tasks: 329.
69%, Active workers: 30, Completed tasks: 330.
70%, Active workers: 30, Completed tasks: 331.
71%, Active workers: 30, Completed tasks: 337.
72%, Active workers: 30, Completed tasks: 344.
73%, Active workers: 30, Completed tasks: 356.
74%, Active workers: 30, Completed tasks: 360.
75%, Active workers: 30, Completed tasks: 360.
76%, Active workers: 30, Completed tasks: 360.
77%, Active workers: 30, Completed tasks: 364.
78%, Active workers: 30, Completed tasks: 376.
79%, Active workers: 30, Completed tasks: 386.
80%, Active workers: 30, Completed tasks: 390.
81%, Active workers: 30, Completed tasks: 390.
82%, Active workers: 30, Completed tasks: 390.
83%, Active workers: 30, Completed tasks: 394.
84%, Active workers: 30, Completed tasks: 407.
85%, Active workers: 30, Completed tasks: 416.
86%, Active workers: 30, Completed tasks: 420.
87%, Active workers: 30, Completed tasks: 420.
88%, Active workers: 30, Completed tasks: 420.
89%, Active workers: 30, Completed tasks: 423.
90%, Active workers: 30, Completed tasks: 435.
91%, Active workers: 30, Completed tasks: 443.
92%, Active workers: 30, Completed tasks: 450.
93%, Active workers: 30, Completed tasks: 450.
94%, Active workers: 29, Completed tasks: 451.
95%, Active workers: 27, Completed tasks: 454.
96%, Active workers: 22, Completed tasks: 469.
97%, Active workers: 20, Completed tasks: 480.
98%, Active workers: 20, Completed tasks: 480.
99%, Active workers: 18, Completed tasks: 482.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.25 Uniform UNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 23, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 14.
7%, Active workers: 30, Completed tasks: 29.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 44.
12%, Active workers: 30, Completed tasks: 44.
13%, Active workers: 30, Completed tasks: 44.
14%, Active workers: 30, Completed tasks: 46.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 74.
17%, Active workers: 30, Completed tasks: 74.
18%, Active workers: 30, Completed tasks: 74.
19%, Active workers: 30, Completed tasks: 74.
20%, Active workers: 30, Completed tasks: 74.
21%, Active workers: 30, Completed tasks: 99.
22%, Active workers: 30, Completed tasks: 104.
23%, Active workers: 30, Completed tasks: 104.
24%, Active workers: 30, Completed tasks: 104.
25%, Active workers: 30, Completed tasks: 104.
26%, Active workers: 30, Completed tasks: 111.
27%, Active workers: 30, Completed tasks: 118.
28%, Active workers: 30, Completed tasks: 128.
29%, Active workers: 30, Completed tasks: 134.
30%, Active workers: 30, Completed tasks: 134.
31%, Active workers: 30, Completed tasks: 134.
32%, Active workers: 30, Completed tasks: 148.
33%, Active workers: 30, Completed tasks: 148.
34%, Active workers: 30, Completed tasks: 148.
35%, Active workers: 30, Completed tasks: 154.
36%, Active workers: 30, Completed tasks: 164.
37%, Active workers: 30, Completed tasks: 178.
38%, Active workers: 30, Completed tasks: 178.
39%, Active workers: 30, Completed tasks: 178.
40%, Active workers: 30, Completed tasks: 178.
41%, Active workers: 30, Completed tasks: 178.
42%, Active workers: 30, Completed tasks: 195.
43%, Active workers: 30, Completed tasks: 208.
44%, Active workers: 30, Completed tasks: 208.
45%, Active workers: 30, Completed tasks: 208.
46%, Active workers: 30, Completed tasks: 208.
47%, Active workers: 30, Completed tasks: 221.
48%, Active workers: 30, Completed tasks: 224.
49%, Active workers: 30, Completed tasks: 235.
50%, Active workers: 30, Completed tasks: 238.
51%, Active workers: 30, Completed tasks: 238.
52%, Active workers: 30, Completed tasks: 238.
53%, Active workers: 30, Completed tasks: 252.
54%, Active workers: 30, Completed tasks: 252.
55%, Active workers: 30, Completed tasks: 255.
56%, Active workers: 30, Completed tasks: 267.
57%, Active workers: 30, Completed tasks: 268.
58%, Active workers: 30, Completed tasks: 281.
59%, Active workers: 30, Completed tasks: 282.
60%, Active workers: 30, Completed tasks: 282.
61%, Active workers: 30, Completed tasks: 282.
62%, Active workers: 30, Completed tasks: 287.
63%, Active workers: 30, Completed tasks: 309.
64%, Active workers: 30, Completed tasks: 312.
65%, Active workers: 30, Completed tasks: 312.
66%, Active workers: 30, Completed tasks: 312.
67%, Active workers: 30, Completed tasks: 312.
68%, Active workers: 30, Completed tasks: 325.
69%, Active workers: 30, Completed tasks: 330.
70%, Active workers: 30, Completed tasks: 340.
71%, Active workers: 30, Completed tasks: 342.
72%, Active workers: 30, Completed tasks: 342.
73%, Active workers: 30, Completed tasks: 343.
74%, Active workers: 30, Completed tasks: 356.
75%, Active workers: 30, Completed tasks: 356.
76%, Active workers: 30, Completed tasks: 361.
77%, Active workers: 30, Completed tasks: 370.
78%, Active workers: 30, Completed tasks: 372.
79%, Active workers: 30, Completed tasks: 385.
80%, Active workers: 30, Completed tasks: 386.
81%, Active workers: 30, Completed tasks: 386.
82%, Active workers: 30, Completed tasks: 386.
83%, Active workers: 30, Completed tasks: 396.
84%, Active workers: 24, Completed tasks: 413.
85%, Active workers: 22, Completed tasks: 416.
86%, Active workers: 22, Completed tasks: 416.
87%, Active workers: 22, Completed tasks: 416.
88%, Active workers: 16, Completed tasks: 436.
89%, Active workers: 16, Completed tasks: 438.
90%, Active workers: 16, Completed tasks: 438.
91%, Active workers: 16, Completed tasks: 447.
92%, Active workers: 16, Completed tasks: 454.
93%, Active workers: 16, Completed tasks: 454.
94%, Active workers: 16, Completed tasks: 459.
95%, Active workers: 16, Completed tasks: 470.
96%, Active workers: 16, Completed tasks: 470.
97%, Active workers: 14, Completed tasks: 474.
98%, Active workers: 14, Completed tasks: 486.
99%, Active workers: 14, Completed tasks: 486.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.25 Uniform CNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 3.
6%, Active workers: 30, Completed tasks: 14.
7%, Active workers: 30, Completed tasks: 22.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 32.
11%, Active workers: 30, Completed tasks: 41.
12%, Active workers: 30, Completed tasks: 44.
13%, Active workers: 30, Completed tasks: 46.
14%, Active workers: 30, Completed tasks: 54.
15%, Active workers: 30, Completed tasks: 61.
16%, Active workers: 30, Completed tasks: 68.
17%, Active workers: 30, Completed tasks: 72.
18%, Active workers: 30, Completed tasks: 74.
19%, Active workers: 30, Completed tasks: 75.
20%, Active workers: 30, Completed tasks: 82.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 102.
23%, Active workers: 30, Completed tasks: 103.
24%, Active workers: 30, Completed tasks: 104.
25%, Active workers: 30, Completed tasks: 105.
26%, Active workers: 30, Completed tasks: 108.
27%, Active workers: 30, Completed tasks: 120.
